company_id,company_name,report_year,source_file,category,keyword,search_variant,page_number,matched_text,context
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,42,artificial intelligence,"class customer experience; and delivering best You can find out more about how the Directors have had regard to the matters set out in Section embracing artificial intelligence (AI) and other new in classservicecustomer 172(1) when discharging their duties, and the technologies in"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,62,artificial intelligence,"ds (including business or operations; the use of newor current facts. Forward-looking statements emissions accounting methodologies); changes technology, including artificial intelligence; thesometimes use words such as ‘may’, ‘will’, ‘seek’, in tax laws and practice; the outcome of current Group’s ability to access funding; and the success‘"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,109,artificial intelligence,"ustainability reporting standards (including business or operations; the use of new ‘continue’, ‘aim’, ‘anticipate’, ‘target’, ‘projected’, emissions accounting methodologies); changes technology, including artificial intelligence; the ‘expect’, ‘estimate’, ‘intend’, ‘plan’, ‘goal’, ‘believe’, in tax laws and practice; the outcome of current Group’s ability to access funding; and the success ‘achieve’ or other words of similar meaning."
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,183,Artificial Intelligence,"al Control, and standardisation of cost reporting effectiveness and efficiency activities, with further potential to simplify and automate in the future. • Launched nine Artificial Intelligence and Machine Learning initiatives in the Group Finance function, delivering measurable benefits, with many more use cases in the pipeline. Oversee the effective • Group Fina"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,232,artificial intelligence,"ordinary shareholders. legacy businesses; and (v) the extent to x) Evolving landscape with respect to Shareholders and creditors should assume which contingent risks arise in the acquired artificial intelligence (including that, in a resolution situation, public business. generative and agentic artificial"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,233,Artificial Intelligence,"ntravention Order Removing Barriers to American and compliance with existing and futureof agreements with the Group, inputting Leadership in Artificial Intelligence which laws and regulations, and “Cyber attacks”the Group’s confidential or proprietary prioritises deregulation, several state"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,233,artificial intelligence,"risks relating to AI technologies.development, training or fine-tuning of the enacted regulations concerning the use of tool from unlawful sources or in an artificial intelligence technologies. Material existing and emerging otherwise unlawful manner or These include the California Transparency risks impacting individualimplementing the roll-out of ne"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,233,Artificial Intelligence,"anner or These include the California Transparency risks impacting individualimplementing the roll-out of new AI tools in Frontier Artificial Intelligence Act, the principal risksor functionalities without the Group’s Utah Artificial Intelligence Consumer i) Climate riskapproval. See “supplier exposure” for more"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,233,Artificial Intelligence,"-out of new AI tools in Frontier Artificial Intelligence Act, the principal risksor functionalities without the Group’s Utah Artificial Intelligence Consumer i) Climate riskapproval. See “supplier exposure” for more Protection Amendments, the updated Climate risk is the risk of financial lossesinformatio"
001,Barclays plc,2025,001_barclays_plc_annual_report_2025.txt,AI and related technologies,artificial intelligence,artificial intelligence,238,artificial intelligence,"“Evolving landscape with respect to The Group holds and processes largesome other jurisdictions on the need for a artificial intelligence (including generative volumes of data, including personalcertain level of human inventorship. and agentic artificial intelligence) (AI) and information, financial data and oth"
